accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-0.56,3.86,4.79,-1.56,-1.27,-3.91
-1.8,-0.05,3.45,-2.87,-0.34,-2.56
-8.42,-0.26,5.08,-2.42,-0.19,-1.79
-10.41,-0.99,2.04,0.41,-0.13,0.24
-7.34,-0.43,3.52,0.62,-0.56,0.53
-7.28,0.82,4.27,0.67,-0.39,0.69
0.75,8.43,-3.69,-0.5,-0.02,-0.15
0.56,6.19,-2.96,-0.27,0.33,-0.42
-0.0,7.25,-1.34,-0.91,0.24,-0.6
-2.66,9.55,-0.79,-0.67,-0.13,-0.51
-1.44,7.81,-3.15,-1.49,1.23,-0.49
-0.71,6.92,-1.49,-0.14,0.9,-1.24
1.1,-1.55,1.04,-0.93,1.86,-2.57
-6.92,12.58,-0.05,-0.18,-0.12,-3.07
-15.55,2.25,5.36,-3.04,1.56,-3.31
-9.29,1.26,-0.0,-1.08,0.1,-2.93
-8.1,-7.72,0.15,-0.63,0.36,-1.42
-6.49,-5.76,-0.17,0.36,0.09,-0.36
-8.43,-4.66,0.01,0.51,-0.35,0.15
-8.76,-3.15,1.33,0.13,-0.16,0.46
-8.63,-3.1,0.82,-0.1,0.18,0.62
0.8,9.07,-4.06,-0.24,-0.15,-0.31
0.91,6.33,-3.95,-0.36,-0.14,-0.43
0.83,4.62,-3.39,-0.12,0.06,-0.45
1.05,5.2,-2.48,-0.4,0.17,-0.5
-0.05,8.52,-4.92,-0.87,0.86,-1.01
-1.05,8.98,-3.66,-0.98,0.59,-1.15
-1.55,1.98,-1.52,-0.01,0.72,-1.66
-3.38,4.78,-1.9,0.03,-0.66,-2.37
-7.51,17.91,6.87,-4.37,1.76,-4.37
-12.19,-2.32,-0.65,-0.22,-0.31,-2.71
-10.12,-2.32,0.34,0.24,-0.83,-2.48
-8.15,-3.69,1.71,0.4,-0.34,-0.5
-7.94,-3.37,1.5,0.18,-0.11,0.27
-9.09,-2.12,1.16,0.23,-0.17,0.67
-9.18,-1.16,1.99,0.13,-0.07,0.69
0.06,9.18,-3.36,-0.33,0.05,-0.25
0.28,9.1,-2.93,-0.39,0.05,-0.38
0.46,8.17,-3.05,-0.5,0.12,-0.5
0.54,7.36,-3.39,-0.69,0.27,-0.63
-0.0,4.99,-3.4,-0.53,0.31,-0.75
2.03,2.81,-1.61,-0.39,0.66,-0.7
0.3,4.96,-3.25,-1.01,0.69,-0.72
-1.96,6.16,1.56,-1.0,-0.37,-0.97
-6.96,9.55,5.92,-1.58,0.33,-2.5
-4.79,-3.88,11.27,-1.18,-0.09,-3.52
-10.1,-9.3,-0.54,-3.87,-0.59,-2.76
-6.99,-4.89,6.11,-1.38,-0.44,-0.87
-3.9,-0.67,5.74,0.57,-0.69,-0.06
-7.41,-1.62,5.68,0.45,-0.66,0.22
-5.33,0.45,7.79,0.64,-0.4,0.29
0.24,6.61,-3.31,-0.36,0.66,-0.64
-0.7,4.47,-2.67,-0.19,0.66,-0.61
0.68,4.09,-1.53,-0.33,0.82,-0.64
1.7,3.13,-2.99,-0.21,1.3,-0.1
2.49,9.95,-0.37,1.64,-0.32,-1.71
-11.06,12.2,-0.84,-0.22,-0.41,-2.77
7.69,7.73,9.16,-1.16,-0.11,-3.96
-6.84,-0.86,1.82,-0.07,-0.1,-2.82
-11.23,-2.22,-0.89,0.31,0.12,-1.49
-7.91,-3.74,0.8,-0.02,0.05,-0.45
-8.46,-1.24,0.57,-0.01,-0.12,0.19
-9.4,-0.67,0.1,-0.01,-0.12,0.54
-9.16,-0.74,0.64,-0.22,-0.02,0.68
-9.85,-0.61,0.07,-0.15,0.06,0.96
-9.09,1.36,-0.29,0.25,0.07,1.09
